conf,session,session_dir,n_files,n_bad_files,n_utts,n_idea,n_nodes,n_moves,n_speakers_idea,n_roster,roster_match_rate,unmatched_speakers,speaking_seconds,n_links,n_unresolved_moves,basis_named_speaker,basis_on_table_idea,basis_nearest_prior,pct_named_speaker,pct_nearest_prior,pct_links_to_extracted,has_teams,num_teams,num_funded_teams,is_focal,ok_complete,ok_material,ok_group,ok_length,ok_roster,ok_grounded,eligible
2021ABI,2021_05_20_ABI_S4,outputs/2021ABI/output_2021_05_20_ABI_S4,8,0,169,54,17,38,8,13,1.0,,0,37,1,3,20,14,0.081,0.378,0.108,True,2,2,False,True,True,True,True,True,False,False
2021ABI,2021_05_20_ABI_S5,outputs/2021ABI/output_2021_05_20_ABI_S5,8,0,147,26,6,20,7,11,1.0,,0,19,1,0,14,5,0.0,0.263,0.0,True,1,0,False,True,False,False,True,True,True,False
2021ABI,2021_05_20_ABI_S6,outputs/2021ABI/output_2021_05_20_ABI_S6,8,0,135,40,12,29,8,14,1.0,,0,28,1,2,15,11,0.071,0.393,0.071,True,2,1,False,True,True,True,True,True,False,False
2021ABI,2021_05_20_ABI_S7,outputs/2021ABI/output_2021_05_20_ABI_S7,8,0,95,20,10,11,9,15,1.0,,0,10,1,1,7,2,0.1,0.2,0.2,True,1,1,False,True,False,True,True,True,True,False
2021ABI,2021_05_20_ABI_S8,outputs/2021ABI/output_2021_05_20_ABI_S8,8,0,202,25,7,18,8,12,1.0,,0,17,1,1,11,5,0.059,0.294,0.059,False,0,0,False,True,False,True,True,True,True,False
2021ABI,2021_05_21_ABI_S1,outputs/2021ABI/output_2021_05_21_ABI_S1,9,0,180,50,15,35,11,12,1.0,,0,34,1,5,22,7,0.147,0.206,0.176,False,0,0,False,True,True,True,True,True,True,True
2021ABI,2021_05_21_ABI_S10,outputs/2021ABI/output_2021_05_21_ABI_S10,8,0,124,27,11,17,7,10,1.0,,0,16,1,5,4,7,0.312,0.438,0.438,False,0,0,False,True,False,False,True,True,False,False
2021ABI,2021_05_21_ABI_S11,outputs/2021ABI/output_2021_05_21_ABI_S11,8,0,150,24,10,15,7,11,1.0,,0,15,1,2,10,3,0.133,0.2,0.133,True,2,1,False,True,False,False,True,True,True,False
2021ABI,2021_05_21_ABI_S12,outputs/2021ABI/output_2021_05_21_ABI_S12,10,0,201,26,11,16,10,12,1.0,,0,16,1,1,6,9,0.062,0.562,0.062,True,3,1,False,True,False,True,True,True,False,False
2021ABI,2021_05_21_ABI_S13,outputs/2021ABI/output_2021_05_21_ABI_S13,9,0,141,33,7,26,10,10,1.0,,0,26,0,4,13,9,0.154,0.346,0.231,True,2,1,False,True,False,True,True,True,True,False
2021ABI,2021_05_21_ABI_S14,outputs/2021ABI/output_2021_05_21_ABI_S14,7,0,90,18,5,13,8,13,1.0,,0,13,0,2,6,5,0.154,0.385,0.154,True,3,0,False,True,False,True,True,True,False,False
2021ABI,2021_05_21_ABI_S15,outputs/2021ABI/output_2021_05_21_ABI_S15,7,0,136,34,8,27,9,12,1.0,,0,28,0,0,17,11,0.0,0.393,0.0,True,2,1,False,True,False,True,True,True,False,False
